Fecha,Año,Mes,Trimestre,Semana,Dia_Semana,Ubicacion,Producto,Descripcion,Ventas_Netas,Ventas_Brutas,Costo_Ventas,Margen_Bruto,Inventario_Total,Transacciones_Count,Precio_Promedio,Ventas_Lag_7D,Promedio_Movil_7D,Indicador_Economico_Local,Gasto_Marketing_Dia,Es_Festivo_Local,Inventario_Rotacion_Diario
01/01/2018,2018,1,1,1,0,LOC_01,Carne,Carne,412.76,472.63,273.52,139.24,2410,7,58.97,412.76,412.76,99.71,14.03,0,0.11
01/01/2018,2018,1,1,1,0,LOC_01,Pollo,Pollo,234.59,259.42,118.86,115.73,2493,8,29.32,412.76,412.76,99.62,9.7,0,0.05
01/01/2018,2018,1,1,1,0,LOC_02,Carne,Carne,472.61,540.4,263.61,209,3332,12,39.38,412.76,234.59,101.08,8.21,0,0.08
01/01/2018,2018,1,1,1,0,LOC_02,Pollo,Pollo,240.19,270.74,104.26,135.93,2405,15,16.01,412.76,472.61,99.87,3.45,0,0.04
01/01/2018,2018,1,1,1,0,LOC_03,Carne,Carne,486.96,538.04,321.2,165.76,4268,19,25.63,412.76,240.19,100.19,6.84,0,0.08
01/01/2018,2018,1,1,1,0,LOC_03,Pollo,Pollo,272.31,297.37,138.65,133.66,2170,9,30.26,412.76,486.96,101.28,8.43,0,0.06
01/01/2018,2018,1,1,1,0,LOC_04,Carne,Carne,483.52,532.52,305.78,177.74,2492,19,25.45,412.76,272.31,101.25,20.18,0,0.12
01/01/2018,2018,1,1,1,0,LOC_04,Pollo,Pollo,318.21,360.77,134.53,183.68,2174,20,15.91,412.76,483.52,100.13,7.78,0,0.06
01/01/2018,2018,1,1,1,0,LOC_05,Carne,Carne,646.16,725.68,392.5,253.66,5625,23,28.09,412.76,318.21,100.27,23.11,0,0.07
01/01/2018,2018,1,1,1,0,LOC_05,Pollo,Pollo,369.22,408.13,233.78,135.44,2160,23,16.05,412.76,646.16,99.43,8.81,0,0.11
01/01/2018,2018,1,1,1,0,LOC_06,Carne,Carne,644.51,736.04,388.51,256,3861,10,64.45,412.76,369.22,100.54,27.71,0,0.1
01/01/2018,2018,1,1,1,0,LOC_06,Pollo,Pollo,529.75,602.1,268.67,261.08,3260,11,48.16,412.76,644.51,99.25,15.41,0,0.08
01/01/2018,2018,1,1,1,0,LOC_07,Carne,Carne,536.45,584.99,298.2,238.25,3897,13,41.27,412.76,529.75,100.31,14.24,0,0.08
01/01/2018,2018,1,1,1,0,LOC_07,Pollo,Pollo,418.91,471.67,172.21,246.7,2739,11,38.08,412.76,536.45,99.59,14.81,0,0.06
01/01/2018,2018,1,1,1,0,LOC_08,Carne,Carne,711.97,808.73,396.47,315.5,5121,20,35.6,412.76,418.91,100.02,18.47,0,0.08
01/01/2018,2018,1,1,1,0,LOC_08,Pollo,Pollo,528.51,575.06,323.79,204.72,2970,25,21.14,412.76,711.97,100.62,13.08,0,0.11
01/01/2018,2018,1,1,1,0,LOC_09,Carne,Carne,706,801.46,459.74,246.26,4757,20,35.3,412.76,528.51,99.11,33.47,0,0.1
01/01/2018,2018,1,1,1,0,LOC_09,Pollo,Pollo,689.16,756.62,368.93,320.23,5385,24,28.72,412.76,706,98.94,20.92,0,0.07
01/01/2018,2018,1,1,1,0,LOC_10,Carne,Carne,798,901.13,500.73,297.27,7090,22,36.27,412.76,689.16,99.83,30.49,0,0.07
